Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
Energy Systems Project,ENGR90031,https://handbook.unimelb.edu.au/2024/subjects/engr90031,Graduate coursework,25 credit points,"Offered Semester 1, Semester 2, 2024"
Aerospace Dynamics and Control,MCEN90045,https://handbook.unimelb.edu.au/2024/subjects/mcen90045,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Animal Disease Biotechnology 2,ANSC30002,https://handbook.unimelb.edu.au/2024/subjects/ansc30002,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Broadband Access Networking and Design,ELEN90016,https://handbook.unimelb.edu.au/2024/subjects/elen90016,Graduate coursework,12.5 credit points,Not offered in 2024
Clinical Placement 1,PSYC90012,https://handbook.unimelb.edu.au/2024/subjects/psyc90012,Graduate coursework,12.5 credit points,"Offered Year Long, 2024"
Lean Construction,ABPL90414,https://handbook.unimelb.edu.au/2024/subjects/abpl90414,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
BioSciences Research Project Part 4,BIOL90016,https://handbook.unimelb.edu.au/2024/subjects/biol90016,Graduate coursework,12.5 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Nursing Science 2,NURS90125,https://handbook.unimelb.edu.au/2024/subjects/nurs90125,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Public Sector Governance,PADM90016,https://handbook.unimelb.edu.au/2024/subjects/padm90016,Graduate coursework,6.25 credit points,Not offered in 2024
Research Project in Comp Biology Pt2,SCIE90022,https://handbook.unimelb.edu.au/2024/subjects/scie90022,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Performance Practice 2,DRAM20030,https://handbook.unimelb.edu.au/2024/subjects/dram20030,Undergraduate Level 2,25 credit points,"Offered Semester 2, 2024"
Essentials of Sustainable Investing,FNCE30013,https://handbook.unimelb.edu.au/2024/subjects/fnce30013,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Production Animal Physiology,ANSC30008,https://handbook.unimelb.edu.au/2024/subjects/ansc30008,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Architecture Design Studio: Air,ABPL30048,https://handbook.unimelb.edu.au/2024/subjects/abpl30048,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Conflict and Terrorism in Southeast Asia,ASIA90015,https://handbook.unimelb.edu.au/2024/subjects/asia90015,Graduate coursework,12.5 credit points,Not offered in 2024
Leadership and Management,PHTY90107,https://handbook.unimelb.edu.au/2024/subjects/phty90107,Graduate coursework,12.5 credit points,"Offered Semester 1 (Early-Start), 2024"
Managing Urban Trees,HORT90042,https://handbook.unimelb.edu.au/2024/subjects/hort90042,Graduate coursework,12.5 credit points,"Offered June, 2024"
Advanced Practice in Pelvic Floor Physio,PHTY90003,https://handbook.unimelb.edu.au/2024/subjects/phty90003,Graduate coursework,12.5 credit points,"Offered April, 2024"
