Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Chinese 9,CHIN10001,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/chin10001
Thinking Scientifically,SCIE20001,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/scie20001
"Local Sites, Global Connections",GEOG30027,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geog30027
"Literature, Environment, Crisis",ENGL30047,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/engl30047
Indigenous People & Ecological Collapse,INDG20002,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/indg20002
German 7,GERM30021,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/germ30021
Japanese Grammar in Action,JAPN30013,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/japn30013
Spirituality in Islam,ISLM20016,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/islm20016
Comedy,ENGL30051,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/engl30051
Knowledge and Reality,PHIL20047,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/phil20047
Research Methods for Planners,PLAN30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/plan30003
"Music, Mind & Wellbeing",MUSI20225,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20225
China Since Mao,CHIN20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/chin20008
Creative Writing: Poetry and Fiction,CWRI10001,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/cwri10001
Russian 3,RUSS20004,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/russ20004
Media and Society,MECM10003,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/mecm10003
