Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Electrical Network Analysis and Design,ELEN30009,"Offered Semester 1, Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/elen30009
Chinese 1,CHIN10005,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/chin10005
Intro to Food Science & Human Nutrition,FOOD20003,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/food20003
Symphonic Ensembles 2 (Breadth),MUSI20123,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20123
Methods in Agrifood Biotechnology,BTCH30001,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/btch30001
International Corporate Governance,IBUS30002,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/ibus30002
Urban Forest Ecosystems,FRST30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/frst30003
Drugs in Biomedical Experiments,PHRM30009,"Offered Semester 1, Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/phrm30009
Drugs: From Discovery to Market,PHRM30008,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/phrm30008
Life Drawing: The Body,FINA10036,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/fina10036
Introductory Financial Accounting,ACCT10002,"Offered Summer Term, Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/acct10002
Choir 1,MUSI10159,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10159
"Knowledge, Learning and Culture",EDUC20065,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/educ20065
Actuarial Statistics,ACTL30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/actl30004
Music and Film since 1900,MUSI30004,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30004
Links Between Health and Learning,EDUC20073,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/educ20073
Physics 2: Physical Science & Technology,PHYC10004,"Offered Summer Term, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/phyc10004
Accounting Reports and Analysis,ACCT10001,"Offered Summer Term, Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/acct10001
Graph Theory,MAST30011,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/mast30011
Music in the Culture of the Renaissance,MUSI30011,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/musi30011
Business in Asia,IBUS20001,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/ibus20001
Entrepreneurship and Product Innovation,MKTG20007,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/mktg20007
Indigenous Art and Changing the Nation,AIND20011,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/aind20011
Introduction to Urban Planning,PLAN10002,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/plan10002
Principles of Marketing,MKTG10001,"Offered Summer Term, Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/mktg10001
Economics of Food Markets,ECON30007,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/econ30007
Calculus 2,MAST10006,"Offered Summer Term, Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/mast10006
"Perception, Memory and Cognition",PSYC30017,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/psyc30017
Principles of Immunology,MIIM30002,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/miim30002
Sound in Performance,MUSI10223,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10223
Blue Planet - Intro to Marine Biology,EVSC20004,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/evsc20004
Experimental Economics,ECON30022,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/econ30022
The Music Of Spain,MUSI30030,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/musi30030
Symphonic Ensembles 1 (Breadth),MUSI20124,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20124
"Genetics, Health, and Society",POPH20001,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/poph20001
Food Research & Development,FOOD30009,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/food30009
Shakuhachi Ensemble 1,MUSI30139,"Offered Semester 1, Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30139
Chemistry 2,CHEM10004,"Offered Summer Term, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/chem10004
Chinese 6,CHIN20004,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/chin20004
Fluid Mechanics,ENGR30002,"Offered Semester 1, Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/engr30002
Structural Theory and Design,CVEN30009,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/cven30009
