Course Code,Major/Minor Name,URL
B-DES,Environmental Design,https://handbook.unimelb.edu.au/2024/components/b-des-infspc-5/print
B-DES,Event Design,https://handbook.unimelb.edu.au/2024/components/b-des-infspc-6/print
B-DES,Towards Practice,https://handbook.unimelb.edu.au/2024/components/b-des-infspc-9/print
B-DES,Transport Design,https://handbook.unimelb.edu.au/2024/components/b-des-infspc-8/print
B-DES,Typography,https://handbook.unimelb.edu.au/2024/components/b-des-infspc-10/print
B-DES,Working with First Peoples Design Knowledge,https://handbook.unimelb.edu.au/2024/components/b-des-infspc-11/print
B-BMED,Biochemistry and Molecular Biology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-12/print
B-BMED,Biomedical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-4/print
B-BMED,Biotechnology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-5/print
B-BMED,Cell and Developmental Biology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-6/print
B-BMED,Genetics,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-7/print
B-BMED,Human Nutrition,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-14/print
B-BMED,Human Structure and Function,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-8/print
B-BMED,Immunology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-2/print
B-BMED,Infection and Immunity,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-16/print
B-BMED,Microbiology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-3/print
B-BMED,Neuroscience,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-9/print
B-BMED,Pathology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-10/print
B-BMED,Pharmacology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-11/print
B-BMED,Physiology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-13/print
B-BMED,Psychology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-15/print
B-BMED,Public Health and Epidemiology,https://handbook.unimelb.edu.au/2024/components/b-bmed-major-17/print
GC-GERON,Standard Pathway,https://handbook.unimelb.edu.au/2024/components/gc-geron-stdpwy/print
GC-GERON,Gerontology Nursing,https://handbook.unimelb.edu.au/2024/components/gc-geron-spec-01/print
GC-GERON,Standard Pathway,https://handbook.unimelb.edu.au/2024/components/gc-geron-stdpwy/print
GC-GERON,Gerontology Nursing,https://handbook.unimelb.edu.au/2024/components/gc-geron-spec-01/print
MC-MTRNENG,Manufacturing,https://handbook.unimelb.edu.au/2024/components/mc-mtrneng-spec-01/print
MC-TESOL,EAL Teaching,https://handbook.unimelb.edu.au/2024/components/mc-tesol-spec-1/print
GD-ENV,Tailored specialisation,https://handbook.unimelb.edu.au/2024/components/gd-env-infspc-1/print
MC-IB,200pt Program,https://handbook.unimelb.edu.au/2024/components/mc-ib-entry-2/print
MC-IB,150pt Program,https://handbook.unimelb.edu.au/2024/components/mc-ib-entry-1/print
D-LANG,Ancient Greek,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-1/print
D-LANG,Arabic Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-2/print
D-LANG,Chinese Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-3/print
D-LANG,French Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-4/print
D-LANG,German Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-5/print
D-LANG,Hebrew,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-6/print
D-LANG,Indonesian Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-7/print
D-LANG,Italian Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-8/print
D-LANG,Japanese Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-9/print
D-LANG,Latin,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-10/print
D-LANG,Russian Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-11/print
D-LANG,Spanish and Latin American Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-12/print
D-LANG,Korean Studies,https://handbook.unimelb.edu.au/2024/components/d-lang-spec-13/print
344AB,200pt Program,https://handbook.unimelb.edu.au/2024/components/344ab-entry-3/print
344AB,150pt Program,https://handbook.unimelb.edu.au/2024/components/344ab-entry-2/print
344AB,100pt Program,https://handbook.unimelb.edu.au/2024/components/344ab-entry-1/print
GDA-SCI,BioSciences,https://handbook.unimelb.edu.au/2024/components/gda-sci-infspc-9/print
GDA-SCI,Earth Sciences,https://handbook.unimelb.edu.au/2024/components/gda-sci-infspc-4/print
GDA-SCI,Mathematics and Statistics,https://handbook.unimelb.edu.au/2024/components/gda-sci-infspc-6/print
GDA-SCI,Physics,https://handbook.unimelb.edu.au/2024/components/gda-sci-infspc-7/print
MC-FILMTV,Filmmaking,https://handbook.unimelb.edu.au/2024/components/mc-filmtv-spec-1/print
MC-FILMTV,Screen Producing,https://handbook.unimelb.edu.au/2024/components/mc-filmtv-spec-2/print
BH-FA,Dance,https://handbook.unimelb.edu.au/2024/components/bh-fa-spec-1/print
